"site_name","resolution","date","GPP","GPP.lower","GPP.upper","GPP.n_eff","GPP.Rhat","ER","ER.lower","ER.upper","ER.n_eff","ER.Rhat","K600","K600.lower","K600.upper","K600.n_eff","K600.Rhat","DO.obs","DO.sat","DO.amp","DO.psat","depth","temp.water","day.length","discharge","shortwave","velocity","DO.tdist80","light_umolm2s","light_rel","storm_id","GPP_daily_sd","ER_daily_sd"
"nwis_01608500",30,2012-03-26,1.68102859404021,0.840242121346404,2.51716103093857,2000,0.99991958024072,-2.09485384840411,-4.24923382975862,-0.113203441803031,2000,0.999313063400633,2.62610058276964,1.29425199314633,4.02351393517132,2000,1.00003252486112,9.4625,9.86236591515877,7.22966780872895,95.9467793795385,2.95830722856081,14.6645833333333,11.5,97.8111090125,253.89575,0.296525107228106,16968.771019365,55.1943970925,0.716579663482738,2,0.430530888415118,1.04689901515866
"nwis_01608500",30,2012-03-27,4.42147035201504,3.5463352566811,5.26083691653756,2000,0.999697143513252,-2.11015295488115,-3.43695426690526,-0.766564074993323,2000,0.998858920112823,2.54466270474581,1.6886045537987,3.37834397354529,2000,0.999680311184709,10.4520833333333,10.3027198918003,14.9884218083493,101.502411876476,2.66634409650535,12.8645833333333,12,79.953797373125,261.128875,0.271780480720783,16844.6601348347,56.76680613625,0.738858133903624,2,0.443825380115576,0.694232233698431
"nwis_01608500",30,2012-03-28,4.30674039281674,3.32897176698666,5.25618857991306,2000,1.00030048373273,-2.95148864682327,-4.29322281854078,-1.53652854937288,2000,1.00034312028276,3.83606022895585,2.64669355271883,4.95017583904605,2000,0.999111804979419,10.5354166666667,10.2517564628288,10.9924167463778,102.795015660998,2.39800062259511,12.4666666666667,12,64.981264521875,209.415416666667,0.2486776197764,10334.9815992639,45.5248174291667,0.579577497686105,2,0.480435978597066,0.726435097362488
"nwis_01608500",30,2012-03-29,6.0362735776511,5.19494237871004,6.86729767219401,2000,0.999087561958349,-3.34415399689497,-4.79821910875889,-1.89108697066588,2000,0.998749254767718,2.83024507384854,2.03877549014979,3.64871288875665,2000,0.999065391132849,10.5395833333333,10.1217645981273,18.9461150444952,104.198260461574,2.27757360833635,13.28125,12,58.74565883875,202.224458333333,0.238177624234294,13123.919990809,43.9615749970833,0.557428903195204,2,0.436479437016825,0.744316518236946
"nwis_01608500",30,2012-03-30,5.47268486574528,4.6029651004111,6.36140150442947,2000,0.999355318981328,-4.18899747438302,-5.57823479349361,-2.85989611097282,2000,0.998666801978993,2.61859246621954,1.64533939444128,3.58298282613766,2000,1.00198539738169,10.4479166666667,10.1950079736056,15.7257568494684,102.510867061621,2.17133135299011,12.9125,12,53.5424382025,127.764666666667,0.228825997362037,13764.1270457867,27.7747608866667,0.328088159575938,2,0.444787610530332,0.697247235068371
"nwis_01608500",30,2012-03-31,6.55220907231641,5.68801045035736,7.42011486793837,2000,1.00060482144826,-4.0832971668025,-5.62095307174673,-2.61252430297771,2000,1.00030060572135,2.52387021504576,1.64651884858384,3.43199722093902,2000,1.00052728841542,10.6375,10.115216813095,18.1409320731281,105.20062020931,2.08096860657469,13.0958333333333,12,49.265414436875,209.811708333333,0.220825639133375,13713.2956487195,45.6109672745833,0.580798100423353,2,0.451930550002954,0.758639658093143
"nwis_01608500",30,2012-04-01,7.83383585554995,6.84625930309425,8.77465753345186,2000,0.998748252142667,-4.3205313073446,-5.87527002350301,-2.71615006564042,2000,0.999425489503787,3.17526334764937,2.44390369254384,3.89786488040079,2000,0.999038994475424,10.5208333333333,9.77252853808756,24.2907290311624,107.779950486451,2.00436983268552,14.5479166666667,12,45.8025000225,205.880208333333,0.2139906189817,10159.2828266365,44.7562984895833,0.56868883831884,2,0.491438521732811,0.796637842798874
"nwis_01608500",30,2012-04-02,7.9675018724258,7.10058956129704,8.83170152514338,2000,1.00071617761435,-4.90407621447032,-6.40310130199233,-3.45217635232339,2000,0.999658116413424,2.2316421233123,1.59649486281638,2.85635356125244,2000,1.00012771526914,10.3729166666667,9.6696403897749,26.7585204688323,107.39074490199,1.90303301086712,15.3020833333333,12,41.395690708125,260.708583333333,0.204887853055458,13566.2001137119,56.6754389308333,0.737563609688435,2,0.44172763076165,0.748116213214966
"nwis_01608500",30,2012-04-03,7.86318194707911,6.93732737758246,8.79206611623121,2000,0.999286802080677,-4.30457293125938,-5.82350668357289,-2.79366474136763,2000,0.998338085245479,2.451729591739,1.84234255123676,3.10042225776752,2000,0.999129729645422,10.525,9.65062813940239,30.9979482831293,109.241680631239,1.80741724427346,15.3625,12,37.443130814375,254.503833333333,0.19622431101109,11807.4078586087,55.3265883283333,0.7184525975956,2,0.465538683901514,0.776813297678448
"nwis_01608500",30,2012-04-04,8.18171893735185,7.22670937018092,9.113892424918,2000,0.998590414878272,-4.52942611203117,-6.0054544683316,-2.9738619559095,2000,0.998814219896848,2.93786729324143,2.2753801576777,3.67299747856878,2000,1.00002500954349,10.3375,9.55118675053582,29.1192536340222,108.380130873648,1.70335889679939,15.58125,12,33.35488602875,182.379833333333,0.186713469417921,9322.13892246985,39.6475519683333,0.496306236149347,2,0.486737006183067,0.762771097745932
